"WAST","RF","RH","T"
2016-01-01 23:00:00,0,21,27.11
2016-01-01 23:10:00,0,21.7,26.91
2016-01-01 23:20:00,0,22,26.79
2016-01-01 23:30:00,0,22.4,26.71
2016-01-01 23:40:00,0,23,26.44
2016-01-01 23:50:00,0,23.4,26.38
2016-01-02 00:00:00,0,23.8,26.17
2016-01-02 00:10:00,0,24.5,25.98
2016-01-02 00:20:00,0,25.6,25.66
2016-01-02 00:30:00,0,27,25.27
2016-01-02 00:40:00,0,27.9,25.06
2016-01-02 00:50:00,0,29,24.7
2016-01-02 01:00:00,0,30.4,24.28
2016-01-02 01:10:00,0,31.4,24.08
2016-01-02 01:20:00,0,32.2,23.83
2016-01-02 01:30:00,0,33,23.65
2016-01-02 01:40:00,0,33.8,23.44
2016-01-02 01:50:00,0,34.4,23.25
2016-01-02 02:00:00,0,35.2,23.06
2016-01-02 02:10:00,0,36.3,22.84
2016-01-02 02:20:00,0,37.3,22.57
2016-01-02 02:30:00,0,38.4,22.35
2016-01-02 02:40:00,0,38.9,22.3
2016-01-02 02:50:00,0,39.2,22.28
2016-01-02 03:00:00,0,39.8,22.1
2016-01-02 03:10:00,0,40.6,21.9
2016-01-02 03:20:00,0,40.8,21.97
2016-01-02 03:30:00,0,41.1,21.85
2016-01-02 03:40:00,0,41.5,21.71
2016-01-02 03:50:00,0,41.8,21.65
2016-01-02 04:00:00,0,42.2,21.5
2016-01-02 04:10:00,0,42.3,21.52
2016-01-02 04:20:00,0,42.1,21.59
2016-01-02 04:30:00,0,41.9,21.59
2016-01-02 04:40:00,0,42,21.55
2016-01-02 04:50:00,0,42.1,21.54
2016-01-02 05:00:00,0,42.4,21.48
2016-01-02 05:10:00,0,42.3,21.53
2016-01-02 05:20:00,0,42.4,21.53
2016-01-02 05:30:00,0,42.4,21.55
2016-01-02 05:40:00,0,42.3,21.65
2016-01-02 05:50:00,0,42.2,21.66
2016-01-02 06:00:00,0,42.4,21.69
2016-01-02 06:10:00,0,41.7,22.03
2016-01-02 06:20:00,0,40.6,22.25
2016-01-02 06:30:00,0,41.6,22.18
2016-01-02 06:40:00,0,42.3,22.04
2016-01-02 06:50:00,0,42.5,22.18
2016-01-02 07:00:00,0,41.7,22.45
2016-01-02 07:10:00,0,42.4,22.51
2016-01-02 07:20:00,0,40.6,23.3
2016-01-02 07:30:00,0,40,23.34
2016-01-02 07:40:00,0,40.6,23.67
2016-01-02 07:50:00,0,38.4,24.3
2016-01-02 08:00:00,0,36.4,25.01
2016-01-02 08:10:00,0,34.7,25.52
2016-01-02 08:20:00,0,33.8,25.76
2016-01-02 08:30:00,0,33.9,25.86
